Country,ISO3,citizen,sex,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Poland,POL,NEU28_FOR,T,76595,123926,180334,208574,257507,321042,,,,
Portugal,PRT,NEU28_FOR,T,267152,256251,252465,251575,283478,341077,,,,
Romania,ROU,NEU28_FOR,T,54687,58858,60476,57250,60518,75911,,,,
Sweden,SWE,NEU28_FOR,T,416246,447664,505332,543921,578398,587951,,,,
Slovenia,SVN,NEU28_FOR,T,84367,90169,95718,102335,117493,134828,,,,
Slovakia,SVK,NEU28_FOR,T,13064,13901,14687,15439,16313,17132,,,,
Turkey,TUR,NEU28_FOR,T,383710,504904,666922,780232,1061882,1357686,,,,
Austria,AUT,STLS,F,1046,1475,1739,1799,1771,1712,1703,1727,1799,1827
Belgium,BEL,STLS,F,233,249,289,308,372,366,348,300,276,270
Bulgaria,BGR,STLS,F,,,,,,,,,233,231
Switzerland,CHE,STLS,F,101,130,154,165,159,167,201,215,260,316
Cyprus,CYP,STLS,F,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,STLS,F,0,0,0,0,0,0,87,80,79,68
Germany,DEU,STLS,F,3436,3773,4031,4290,4355,4367,4413,4467,8382,7839
Denmark,DNK,STLS,F,2250,2893,3396,3569,3761,3921,3892,3915,3870,3875
Estonia,EST,STLS,F,0,0,0,0,0,0,0,0,0,0
Spain,ESP,STLS,F,523,586,703,803,990,1122,1230,1414,1629,1800
Finland,FIN,STLS,F,341,363,429,467,496,517,532,537,527,513
France,FRA,STLS,F,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,STLS,F,331,313,289,278,259,243,217,217,217,217
Hungary,HUN,STLS,F,49,58,49,36,35,38,40,34,32,35
Ireland,IRL,STLS,F,1211,1558,224,229,264,251,316,332,368,424
Iceland,ISL,STLS,F,53,47,35,31,20,18,0,0,0,0
Italy,ITA,STLS,F,215,440,391,201,274,258,211,293,298,201
Liechtenstein,LIE,STLS,F,0,1,0,0,0,0,0,0,0,0
Lithuania,LTU,STLS,F,506,454,422,379,324,305,941,923,856,820
Luxembourg,LUX,STLS,F,33,29,72,76,77,80,82,75,72,65
Latvia,LVA,STLS,F,88,84,86,85,81,80,70,69,71,73
Malta,MLT,STLS,F,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,STLS,F,1373,3334,5059,6363,5799,3969,2644,2255,2150,1932
Norway,NOR,STLS,F,796,1028,1332,1382,1241,1015,838,769,830,844
Poland,POL,STLS,F,759,271,261,267,273,273,297,296,296,287
Portugal,PRT,STLS,F,4,0,0,12,11,14,14,11,9,5
Romania,ROU,STLS,F,111,115,120,115,107,93,97,,112,112
Sweden,SWE,STLS,F,8080,9122,10720,10382,8934,7993,6577,5256,4165,3571
Slovenia,SVN,STLS,F,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,STLS,F,548,548,547,546,546,546,546,3,3,3
Turkey,TUR,STLS,F,75,30,50,82,128,152,,,178,161
Austria,AUT,STLS,M,2022,2667,2769,2717,2652,2543,2589,2764,2942,2952
Belgium,BEL,STLS,M,412,467,573,621,674,653,617,492,443,422
Bulgaria,BGR,STLS,M,,,,,,,,,330,337
Switzerland,CHE,STLS,M,159,209,254,296,306,316,339,363,457,554
Cyprus,CYP,STLS,M,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,STLS,M,0,0,0,0,0,0,186,177,176,164
Germany,DEU,STLS,M,5525,6491,7092,7116,7139,6993,6947,6688,12090,11044
Denmark,DNK,STLS,M,2667,3628,4162,4363,4517,4700,4664,4696,4671,4653
Estonia,EST,STLS,M,0,0,0,0,0,0,0,0,0,0
Spain,ESP,STLS,M,828,937,1090,1271,1547,1752,1882,2160,2375,2570
Finland,FIN,STLS,M,492,523,606,678,717,734,741,746,758,800
France,FRA,STLS,M,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,STLS,M,364,361,365,358,351,353,342,341,341,341
Hungary,HUN,STLS,M,99,103,97,97,79,75,81,77,69,65
Ireland,IRL,STLS,M,1358,1799,185,253,255,279,304,329,391,397
Iceland,ISL,STLS,M,78,76,50,38,28,34,0,0,0,0
Italy,ITA,STLS,M,231,439,420,227,309,280,221,328,345,288
Liechtenstein,LIE,STLS,M,2,2,0,0,0,0,0,0,0,0
Lithuania,LTU,STLS,M,428,272,239,210,204,198,1266,1207,1119,1058
Luxembourg,LUX,STLS,M,25,22,89,95,105,108,110,109,104,93
Latvia,LVA,STLS,M,100,96,90,87,83,77,66,69,69,69
Malta,MLT,STLS,M,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,STLS,M,2208,5003,7418,8254,7070,4499,3283,3028,2999,2815
Norway,NOR,STLS,M,1071,1397,1761,1725,1397,1103,870,776,824,782
Poland,POL,STLS,M,963,298,286,291,327,326,339,339,335,331
Portugal,PRT,STLS,M,7,0,0,19,19,19,16,11,11,6
Romania,ROU,STLS,M,170,184,199,195,209,180,171,,182,184
Sweden,SWE,STLS,M,10921,12458,14595,13273,10848,9506,7858,6722,5821,5011
Slovenia,SVN,STLS,M,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,STLS,M,952,951,950,949,949,947,947,2,2,2
Turkey,TUR,STLS,M,116,52,82,88,192,242,,,261,254
Austria,AUT,STLS,T,3068,4142,4508,4516,4423,4255,4292,4491,4741,4779
Belgium,BEL,STLS,T,645,716,862,929,1046,1019,965,792,719,692
Bulgaria,BGR,STLS,T,,,,,,,,,563,568
Switzerland,CHE,STLS,T,260,339,408,461,465,483,540,578,717,870
Cyprus,CYP,STLS,T,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,STLS,T,0,0,0,0,0,0,273,257,255,232
Germany,DEU,STLS,T,8961,10264,11123,11406,11494,11360,11360,11155,20472,18883
Denmark,DNK,STLS,T,4917,6521,7558,7932,8278,8621,8556,8611,8541,8528
Estonia,EST,STLS,T,0,0,0,0,0,0,0,0,0,0
Spain,ESP,STLS,T,1351,1523,1793,2074,2537,2874,3112,3574,4004,4370
Finland,FIN,STLS,T,833,886,1035,1145,1213,1251,1273,1283,1285,1313
France,FRA,STLS,T,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,STLS,T,695,674,654,636,610,596,559,558,558,558
Hungary,HUN,STLS,T,148,161,146,133,114,113,121,111,101,100
Ireland,IRL,STLS,T,2569,3357,409,482,519,530,620,661,759,821
Iceland,ISL,STLS,T,131,123,85,69,48,52,0,0,0,0
Italy,ITA,STLS,T,446,879,811,428,583,538,432,621,643,489
Liechtenstein,LIE,STLS,T,2,3,0,0,0,0,0,0,0,0
Lithuania,LTU,STLS,T,934,726,661,589,528,503,2207,2130,1975,1878
Luxembourg,LUX,STLS,T,58,51,161,171,182,188,192,184,176,158
Latvia,LVA,STLS,T,188,180,176,172,164,157,136,138,140,142
Malta,MLT,STLS,T,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,STLS,T,3581,8337,12477,14617,12869,8468,5927,5283,5149,4747
Norway,NOR,STLS,T,1867,2425,3093,3107,2638,2118,1708,1545,1654,1626
Poland,POL,STLS,T,1722,569,547,558,600,599,636,635,631,618
Portugal,PRT,STLS,T,11,0,0,31,30,33,30,22,20,11
Romania,ROU,STLS,T,281,299,319,310,316,273,268,,294,296
Sweden,SWE,STLS,T,19001,21580,25315,23655,19782,17499,14435,11978,9986,8582
Slovenia,SVN,STLS,T,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,STLS,T,1500,1499,1497,1495,1495,1493,1493,5,5,5
Turkey,TUR,STLS,T,191,82,132,170,320,394,,,439,415
Albania,ALB,TOTAL,F,,,,,,,,1406532,,
Armenia,ARM,TOTAL,F,,,,,,,,,,1577675
Austria,AUT,TOTAL,F,4384529,4427918,4460424,4483749,4501742,4522292,4535712,4553444,4619957,4643918
Belgium,BEL,TOTAL,F,5713206,5741853,5762455,5784371,5810693,5841215,5854293,5883978,5946649,5981093
Bulgaria,BGR,TOTAL,F,3621883,3578998,3537549,3494184,3450251,3405861,3389807,3364303,3348207,3347783
Switzerland,CHE,TOTAL,F,4163786,4205655,4246113,4277696,4307406,4337170,4367701,4400588,4435432,4510726
Cyprus,CYP,TOTAL,F,435183,435627,438139,442728,448068,453534,458357,463622,483955,490771
Czechia,CZE,TOTAL,F,5361348,5367513,5378133,5390264,5405606,5421943,5323934,5332932,5519006,5557945
Germany,DEU,TOTAL,F,41362080,41661561,41824535,41948786,42052522,42129098,42128512,42170339,42198796,42294114
Denmark,DNK,TOTAL,F,2848701,2869364,2888591,2904717,2917008,2925845,2935188,2950505,2983655,2997558
Estonia,EST,TOTAL,F,700166,699236,698097,698049,699185,699699,699153,698381,718518,723074
Spain,ESP,TOTAL,F,23603001,23612439,23666286,23755470,23902168,24107382,24152187,24198046,24519768,24792824
Finland,FIN,TOTAL,F,2779890,2785818,2790970,2793999,2794629,2797030,2799985,2805140,2810493,2829953
France,FRA,TOTAL,F,34283895,34391005,34495464,34611994,34739132,34828670,34946473,35109077,35188809,35271283
Georgia,GEO,TOTAL,F,,,,,,,,,,1920139
Croatia,HRV,TOTAL,F,2170159,2146424,2122085,2090961,2064873,2041528,2019003,2000012,1989028,1986557
Hungary,HUN,TOTAL,F,5128422,5101174,5076104,5054972,5039416,5025500,5004102,4981528,4974484,4961249
Ireland,IRL,TOTAL,F,2364285,2387145,2424201,2451343,2493497,2530888,2557709,2604045,2666848,2708306
Iceland,ISL,TOTAL,F,163914,165259,167316,170850,174154,177193,179749,183153,187800,187015
Italy,ITA,TOTAL,F,31067182,30970668,30888080,30781300,30685478,30591392,30369987,30211177,30182369,30124502
Liechtenstein,LIE,TOTAL,F,18813,18962,19064,19224,19353,19532,19687,19812,19989,20156
Lithuania,LTU,TOTAL,F,1580254,1563839,1544399,1526156,1517016,1510500,1505796,1499399,1521463,1519986
Luxembourg,LUX,TOTAL,F,280986,287056,294026,299425,305174,311144,315274,320333,328365,333776
Latvia,LVA,TOTAL,F,1074889,1064658,1054433,1044738,1035059,1026719,1017998,1006700,1010687,1003142
"Moldova, Republic of",MDA,TOTAL,F,,,,,,,,,,1293798
Montenegro,MNE,TOTAL,F,,,,,,,,312509,,316854
North Macedonia,MKD,TOTAL,F,,,,,,,,926099,,
Malta,MLT,TOTAL,F,218310,223127,227632,234099,240787,248296,248511,249705,257230,264697
Netherlands,NLD,TOTAL,F,8527868,8561985,8606405,8654043,8701077,8759554,8788879,8845204,8960982,9022174
Norway,NOR,TOTAL,F,2566978,2588874,2609187,2627248,2643139,2661018,2672110,2687938,2723514,2754489
Poland,POL,TOTAL,F,19608451,19590169,19595127,19596388,19592436,19584757,19131216,19043758,18980357,18914999
Portugal,PRT,TOTAL,F,5460453,5449089,5436542,5433139,5434882,5448405,5451426,5453855,5495973,5556158
Romania,ROU,TOTAL,F,10163573,10110852,10041869,9978614,9914008,9868177,9814072,,9790587,9796206
Serbia,SRB,TOTAL,F,,,,,,,,3489070,,3392796
Sweden,SWE,TOTAL,F,4875115,4920051,4981806,5037580,5087747,5131775,5156448,5191619,5223232,5239188
Slovenia,SVN,TOTAL,F,1040645,1040855,1040770,1039839,1042252,1044795,1049039,1049485,1053701,1055520
Slovakia,SVK,TOTAL,F,2779021,2780170,2783659,2786606,2789344,2792523,2793295,2776809,2773698,2771470
Turkey,TUR,TOTAL,F,38711602,39229862,39771221,40275390,40863902,41433861,,,42575441,42638306
Ukraine,UKR,TOTAL,F,,,,,,,22223341,21990719,,
Albania,ALB,TOTAL,M,,,,,,,,1387060,,
Armenia,ARM,TOTAL,M,,,,,,,,,,1413526
Austria,AUT,TOTAL,M,4200397,4272553,4312441,4338518,4357033,4378772,4396952,4425485,4484815,4514832
Belgium,BEL,TOTAL,M,5524068,5569264,5589272,5614218,5644826,5681225,5700474,5733645,5796147,5836003
Bulgaria,BGR,TOTAL,M,3407807,3359761,3311969,3263234,3213926,3163414,3142310,3118181,3099503,3097698
Switzerland,CHE,TOTAL,M,4073880,4121471,4173437,4206434,4237121,4268863,4302599,4338203,4379953,4451532
Cyprus,CYP,TOTAL,M,411825,412692,416663,421508,427831,434471,437650,441083,465129,475594
Czechia,CZE,TOTAL,M,5176927,5186330,5200687,5219791,5244194,5271996,5170902,5183775,5308523,5342610
Germany,DEU,TOTAL,M,39835457,40514123,40697118,40843565,40966691,41037613,41026519,41066785,40919705,41161931
Denmark,DNK,TOTAL,M,2811014,2837887,2860178,2876473,2889073,2896918,2904857,2922915,2948999,2963691
Estonia,EST,TOTAL,M,614704,616708,617538,621084,625635,629277,630915,633415,647366,651613
Spain,ESP,TOTAL,M,22822721,22806445,22831107,22889600,23016783,23210668,23248611,23288797,23565593,23826871
Finland,FIN,TOTAL,M,2691863,2701490,2712327,2719131,2723290,2728262,2733808,2743101,2753477,2773898
France,FRA,TOTAL,M,32174258,32247386,32314352,32414230,32551339,32644981,32782095,32982626,33088401,33196079
Georgia,GEO,TOTAL,M,,,,,,,,,,1774469
Croatia,HRV,TOTAL,M,2010756,1984691,1956684,1923380,1903803,1891983,1874023,1862293,1861866,1875410
Hungary,HUN,TOTAL,M,4687436,4678478,4663753,4658683,4660856,4663876,4647359,4628875,4625260,4623378
Ireland,IRL,TOTAL,M,2313342,2339141,2374956,2404390,2446814,2481712,2509184,2550232,2604547,2643375
Iceland,ISL,TOTAL,M,165186,167270,171033,177600,182837,186941,189043,193095,199958,196552
Italy,ITA,TOTAL,M,29228315,29193044,29178654,29156469,29131195,29050096,28866226,28818956,28814832,28846728
Liechtenstein,LIE,TOTAL,M,18553,18660,18746,18890,19025,19215,19368,19496,19688,19859
Lithuania,LTU,TOTAL,M,1346390,1331734,1314678,1300044,1295184,1299477,1304965,1306599,1335816,1365905
Luxembourg,LUX,TOTAL,M,281972,289193,296641,302580,308720,314964,319456,325064,332444,338274
Latvia,LVA,TOTAL,M,911207,904299,895683,889641,884909,880956,875225,869057,872321,868740
"Moldova, Republic of",MDA,TOTAL,M,,,,,,,,,,1129489
Montenegro,MNE,TOTAL,M,,,,,,,,305174,,306826
North Macedonia,MKD,TOTAL,M,,,,,,,,911015,,
Malta,MLT,TOTAL,M,220495,226508,231743,240738,252181,266559,267614,270469,284821,298746
Netherlands,NLD,TOTAL,M,8372858,8417135,8475102,8527041,8581086,8648031,8686536,8745468,8850309,8920768
Norway,NOR,TOTAL,M,2598824,2625111,2649130,2668371,2685073,2706562,2719259,2737332,2765470,2795728
Poland,POL,TOTAL,M,18397163,18377040,18377837,18380299,18380376,18373381,17942141,17846003,17773379,17705971
Portugal,PRT,TOTAL,M,4934668,4919465,4907936,4902631,4898614,4926990,4942871,4967262,5020648,5083568
Romania,ROU,TOTAL,M,9707074,9649733,9602080,9554867,9500450,9460661,9387590,,9263961,9271370
Serbia,SRB,TOTAL,M,,,,,,,,3308035,,3212372
Sweden,SWE,TOTAL,M,4872240,4930966,5013347,5082662,5142438,5195814,5222847,5260707,5298324,5312519
Slovenia,SVN,TOTAL,M,1022229,1023333,1025125,1027041,1038656,1051066,1059938,1057695,1063271,1068429
Slovakia,SVK,TOTAL,M,2642328,2646082,2651684,2656514,2661077,2665350,2666486,2657903,2655094,2653217
Turkey,TUR,TOTAL,M,38984302,39511191,40043650,40535135,41139980,41721136,,,42704112,42734071
Ukraine,UKR,TOTAL,M,,,,,,,19195376,19006979,,
Albania,ALB,TOTAL,T,,,,,,,,2793592,,
Armenia,ARM,TOTAL,T,,,,,,,,,,2991201
Austria,AUT,TOTAL,T,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929,9104772,9158750
Belgium,BEL,TOTAL,T,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623,11742796,11817096
Bulgaria,BGR,TOTAL,T,7029690,6938759,6849518,6757418,6664177,6569275,6532117,6482484,6447710,6445481
Switzerland,CHE,TOTAL,T,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8738791,8815385,8962258
Cyprus,CYP,TOTAL,T,847008,848319,854802,864236,875899,888005,896007,904705,949084,966365
Czechia,CZE,TOTAL,T,10538275,10553843,10578820,10610055,10649800,10693939,10494836,10516707,10827529,10900555
Germany,DEU,TOTAL,T,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,83118501,83456045
Denmark,DNK,TOTAL,T,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420,5932654,5961249
Estonia,EST,TOTAL,T,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796,1365884,1374687
Spain,ESP,TOTAL,T,46425722,46418884,46497393,46645070,46918951,47318050,47400798,47486843,48085361,48619695
Finland,FIN,TOTAL,T,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970,5603851
France,FRA,TOTAL,T,66458153,66638391,66809816,67026224,67290471,67473651,67728568,68091703,68277210,68467362
Georgia,GEO,TOTAL,T,,,,,,,,,,3694608
Croatia,HRV,TOTAL,T,4180915,4131115,4078769,4014341,3968676,3933511,3893026,3862305,3850894,3861967
Hungary,HUN,TOTAL,T,9815858,9779652,9739857,9713655,9700272,9689376,9651461,9610403,9599744,9584627
Ireland,IRL,TOTAL,T,4677627,4726286,4799157,4855733,4940311,5012600,5066893,5154277,5271395,5351681
Iceland,ISL,TOTAL,T,329100,332529,338349,348450,356991,364134,368792,376248,387758,383567
Italy,ITA,TOTAL,T,60295497,60163712,60066734,59937769,59816673,59641488,59236213,59030133,58997201,58971230
Liechtenstein,LIE,TOTAL,T,37366,37622,37810,38114,38378,38747,39055,39308,39677,40015
Lithuania,LTU,TOTAL,T,2926644,2895573,2859077,2826200,2812200,2809977,2810761,2805998,2857279,2885891
Luxembourg,LUX,TOTAL,T,562958,576249,590667,602005,613894,626108,634730,645397,660809,672050
Latvia,LVA,TOTAL,T,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757,1883008,1871882
"Moldova, Republic of",MDA,TOTAL,T,,,,,,,,,,2423287
Montenegro,MNE,TOTAL,T,,,,,,,,617683,,623680
North Macedonia,MKD,TOTAL,T,,,,,,,,1837114,,
Malta,MLT,TOTAL,T,438805,449635,459375,474837,492968,514855,516125,520174,542051,563443
Netherlands,NLD,TOTAL,T,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672,17811291,17942942
Norway,NOR,TOTAL,T,5165802,5213985,5258317,5295619,5328212,5367580,5391369,5425270,5488984,5550217
Poland,POL,TOTAL,T,38005614,37967209,37972964,37976687,37972812,37958138,37073357,36889761,36753736,36620970
Portugal,PRT,TOTAL,T,10395121,10368554,10344478,10335770,10333496,10375395,10394297,10421117,10516621,10639726
Romania,ROU,TOTAL,T,19870647,19760585,19643949,19533481,19414458,19328838,19201662,,19054548,19067576
Serbia,SRB,TOTAL,T,,,,,,,,6797105,,6605168
Sweden,SWE,TOTAL,T,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326,10521556,10551707
Slovenia,SVN,TOTAL,T,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180,2116972,2123949
Slovakia,SVK,TOTAL,T,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712,5428792,5424687
Turkey,TUR,TOTAL,T,77695904,78741053,79814871,80810525,82003882,83154997,,,85279553,85372377
Ukraine,UKR,TOTAL,T,,,,,,,41418717,40997698,,
Austria,AUT,UNK,F,3017,3485,4078,4743,5665,6129,6611,6936,7261,7676
Belgium,BEL,UNK,F,1959,2635,3450,4962,6465,7638,11678,12211,12534,11304
Bulgaria,BGR,UNK,F,1307,2233,2804,3587,4548,6112,7306,883,884,1974
Switzerland,CHE,UNK,F,530,631,767,779,828,857,825,792,731,730
Cyprus,CYP,UNK,F,3431,3423,3374,791,0,0,0,0,0,0
Czechia,CZE,UNK,F,0,0,1,1,0,0,0,0,0,0
Germany,DEU,UNK,F,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,UNK,F,24,23,20,24,19,18,19,17,18,17
Estonia,EST,UNK,F,33,284,69,145,177,252,233,186,213,338
Spain,ESP,UNK,F,0,0,0,0,0,0,0,0,0,0
Finland,FIN,UNK,F,310,601,626,620,590,608,651,728,660,636
France,FRA,UNK,F,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,UNK,F,844,729,612,486,358,248,98,90,97,106
Hungary,HUN,UNK,F,112,116,120,124,116,114,117,110,93,85
Ireland,IRL,UNK,F,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,UNK,F,0,0,0,0,0,0,16,13,12,9
Italy,ITA,UNK,F,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,UNK,F,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,UNK,F,715,674,650,586,548,538,0,0,0,0
Luxembourg,LUX,UNK,F,0,0,121,109,102,89,77,72,71,62
Latvia,LVA,UNK,F,0,0,0,0,0,0,0,0,0,0
Malta,MLT,UNK,F,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,UNK,F,32137,28509,24498,20798,17713,15390,12745,10506,8740,7740
Norway,NOR,UNK,F,57,60,72,80,77,67,20,23,20,25
Poland,POL,UNK,F,1319,1193,1159,1139,0,0,1403,1395,1441,1384
Portugal,PRT,UNK,F,0,0,0,0,0,0,0,0,0,0
Romania,ROU,UNK,F,3,4,10,9,29,38,12,,0,489
Sweden,SWE,UNK,F,3508,4200,4747,5092,5354,5705,5890,5707,4997,4429
Slovenia,SVN,UNK,F,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,UNK,F,0,0,0,0,0,0,0,1214,1205,1256
Turkey,TUR,UNK,F,1142,788,587,73,32,34,,,116,47
Austria,AUT,UNK,M,3325,4001,4613,5314,6153,6641,7089,7457,7861,8309
Belgium,BEL,UNK,M,2193,3187,3967,5400,7047,8101,13142,13759,14060,12794
Bulgaria,BGR,UNK,M,1196,1923,2317,2750,3382,4806,6040,669,664,1601
Switzerland,CHE,UNK,M,750,836,1060,1073,1066,1089,1099,1046,947,974
Cyprus,CYP,UNK,M,4239,4239,4199,806,0,0,0,0,0,0
Czechia,CZE,UNK,M,2,1,1,0,0,0,0,0,0,0
Germany,DEU,UNK,M,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,UNK,M,43,36,32,34,30,33,32,26,31,33
Estonia,EST,UNK,M,39,329,76,158,195,491,569,508,527,559
Spain,ESP,UNK,M,0,0,0,0,0,0,0,0,0,0
Finland,FIN,UNK,M,562,940,1010,984,956,942,1049,1098,1034,992
France,FRA,UNK,M,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,UNK,M,813,705,604,480,351,214,88,83,88,100
Hungary,HUN,UNK,M,129,124,127,136,132,136,134,116,101,105
Ireland,IRL,UNK,M,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,UNK,M,0,0,0,0,1,2,34,30,32,25
Italy,ITA,UNK,M,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,UNK,M,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,UNK,M,530,477,489,473,432,400,0,0,0,0
Luxembourg,LUX,UNK,M,0,0,130,116,97,100,102,87,94,85
Latvia,LVA,UNK,M,0,0,0,0,0,0,0,1,1,1
Malta,MLT,UNK,M,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,UNK,M,41844,37206,32803,28567,25039,22089,18840,15728,13748,12484
Norway,NOR,UNK,M,73,76,87,95,94,87,22,23,23,30
Poland,POL,UNK,M,4965,4754,4753,4712,0,0,1460,1454,1441,1432
Portugal,PRT,UNK,M,0,0,0,0,0,0,0,0,0,0
Romania,ROU,UNK,M,25,44,55,52,148,265,65,,1,761
Sweden,SWE,UNK,M,4712,5401,6037,6405,6768,7101,7179,6926,6054,5327
Slovenia,SVN,UNK,M,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,UNK,M,0,0,0,0,0,0,0,1710,1700,1743
Turkey,TUR,UNK,M,524,578,546,92,76,77,,,121,86
Austria,AUT,UNK,T,6342,7486,8691,10057,11818,12770,13700,14393,15122,15985
Belgium,BEL,UNK,T,4152,5822,7417,10362,13512,15739,24820,25970,26594,24098
Bulgaria,BGR,UNK,T,2503,4156,5121,6337,7930,10918,13346,1552,1548,3575
Switzerland,CHE,UNK,T,1280,1467,1827,1852,1894,1946,1924,1838,1678,1704
Cyprus,CYP,UNK,T,7670,7662,7573,1597,0,0,0,0,0,0
Czechia,CZE,UNK,T,2,1,2,1,0,0,0,0,0,0
Germany,DEU,UNK,T,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,UNK,T,67,59,52,58,49,51,51,43,49,50
Estonia,EST,UNK,T,72,613,145,303,372,743,802,694,740,897
Spain,ESP,UNK,T,0,0,0,0,0,0,0,0,0,0
Finland,FIN,UNK,T,872,1541,1636,1604,1546,1550,1700,1826,1694,1628
France,FRA,UNK,T,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,UNK,T,1657,1434,1216,966,709,462,186,173,185,206
Hungary,HUN,UNK,T,241,240,247,260,248,250,251,226,194,190
Ireland,IRL,UNK,T,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,UNK,T,0,0,0,0,1,2,50,43,44,34
Italy,ITA,UNK,T,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,UNK,T,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,UNK,T,1245,1151,1139,1059,980,938,0,0,0,0
Luxembourg,LUX,UNK,T,0,0,251,225,199,189,179,159,165,147
Latvia,LVA,UNK,T,0,0,0,0,0,0,0,1,1,1
Malta,MLT,UNK,T,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,UNK,T,73981,65715,57301,49365,42752,37479,31585,26234,22488,20224
Norway,NOR,UNK,T,130,136,159,175,171,154,42,46,43,55
Poland,POL,UNK,T,6284,5947,5912,5851,0,0,2863,2849,2882,2816
Portugal,PRT,UNK,T,0,0,0,0,0,0,0,0,0,0
Romania,ROU,UNK,T,28,48,65,61,177,303,77,,1,1250
Sweden,SWE,UNK,T,8220,9601,10784,11497,12122,12806,13069,12633,11051,9756
Slovenia,SVN,UNK,T,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,UNK,T,0,0,0,0,0,0,0,2924,2905,2999
Turkey,TUR,UNK,T,1666,1366,1133,165,108,111,,,237,133
