LAU1_CODE,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
SK0101,2253,2043,1851,1788,1723,1553,1495,1486,1375,1334,1237,1247,1211,1275,1293.02
SK0102,2197,2012,1870,1773,1760,1696,1499,1392,1446,1422,1316,1260,1224,1327,1355.76
SK0103,2022,1816,1724,1649,1604,1508,1466,1337,1314,1252,1130,1194,1157,1173,1199.73
SK0104,2062,1892,1811,1797,1806,1637,1517,1450,1359,1320,1212,1096,1074,1061,1098.41
SK0105,2140,1963,1825,1670,1592,1417,1393,1338,1248,1222,1105,1070,1041,1073,1083.73
SK0106,1663,1589,1474,1394,1330,1331,1197,1086,1060,1076,994,995,973,902,878.99
SK0107,1373,1343,1272,1220,1147,1037,979,889,828,820,760,746,726,686,674.86
SK0108,1560,1450,1315,1284,1244,1152,957,977,973,944,868,866,829,776,789.57
SK0211,1407,1289,1190,1126,1078,983,907,823,801,768,725,722,706,670,675.30
SK0212,1400,1304,1195,1146,1053,948,935,851,804,769,735,739,739,726,679.61
SK0213,1500,1481,1371,1283,1251,1133,1076,978,916,887,815,889,878,815,791.30
SK0214,1500,1367,1307,1256,1153,1062,987,898,878,841,800,750,739,734,679.66
SK0215,1368,1434,1256,1197,1090,1011,912,832,857,819,778,766,739,692,689.61
SK0216,1619,1463,1416,1368,1276,1234,1106,1038,1037,960,895,853,845,815,664.48
SK0217,1685,1574,1475,1432,1364,1270,1209,1129,1070,1036,964,957,934,898,859.71
SK0221,1592,1407,1303,1210,1171,1061,955,875,816,785,738,718,697,639,576.76
SK0222,1568,1413,1279,1228,1167,1099,1008,945,893,872,810,814,803,738,687.70
SK0223,1431,1281,1209,1139,1065,985,925,867,837,773,724,729,700,636,630.82
SK0224,1501,1424,1340,1295,1263,1152,1034,974,944,909,856,819,792,776,700.00
SK0225,1289,1240,1180,1118,1074,971,917,858,821,775,716,722,693,641,562.03
SK0226,1499,1377,1304,1205,1154,1067,996,915,888,841,770,760,732,692,661.12
SK0227,1410,1294,1239,1141,1117,1034,993,915,890,848,814,788,770,723,690.24
SK0228,1682,1540,1478,1391,1284,1208,1114,1032,944,892,844,796,778,801,713.61
SK0229,1580,1462,1388,1291,1238,1141,1077,986,935,906,836,853,823,774,759.12
SK0231,1316,1200,1116,1040,979,904,856,819,787,751,702,659,636,583,580.79
SK0232,1547,1421,1316,1278,1213,1106,1033,957,915,909,873,858,818,799,760.23
SK0233,1558,1434,1342,1255,1201,1093,1016,979,907,880,828,850,822,768,730.90
SK0234,1427,1248,1192,1118,1027,961,896,827,775,753,690,713,676,643,621.42
SK0235,1561,1532,1361,1271,1190,1077,997,951,925,868,815,869,856,744,719.14
SK0236,1416,1336,1239,1156,1101,1008,924,881,801,758,726,725,693,641,631.39
SK0237,1386,1273,1189,1103,1079,1002,877,809,790,778,734,707,675,677,621.31
SK0311,1508,1401,1273,1181,1147,1063,944,866,829,762,708,704,735,695,588.65
SK0312,1331,1229,1084,1042,977,887,856,760,747,708,676,670,651,611,586.10
SK0313,1480,1320,1262,1201,1135,1009,964,900,876,828,787,742,706,707,691.68
SK0314,1675,1533,1435,1389,1370,1308,1217,1149,1076,1004,921,881,861,788,635.87
SK0315,1395,1261,1175,1138,1058,963,896,836,797,776,729,767,754,676,652.11
SK0316,1598,1462,1352,1298,1262,1167,1090,1008,994,935,861,875,844,849,737.66
SK0317,1308,1209,1149,1059,985,880,863,735,716,706,674,665,632,596,549.81
SK0318,1610,1428,1368,1284,1210,1094,1048,991,957,915,873,895,855,815,769.38
SK0319,1313,1184,1090,1014,949,904,851,758,735,706,681,686,665,624,567.44
SK031A,1490,1264,1232,1136,1082,984,895,849,804,774,738,696,673,629,566.10
SK031B,1670,1498,1405,1297,1262,1174,1086,1024,991,951,888,910,873,822,798.62
SK0321,1568,1447,1374,1293,1225,1126,1075,999,957,941,867,868,831,781,755.67
SK0322,1276,1200,1087,1035,971,878,690,725,732,714,678,790,792,621,621.10
SK0323,1430,1302,1171,1090,1048,990,927,865,820,800,746,729,718,652,599.24
SK0324,1445,1424,1215,1087,1118,1039,970,901,875,839,785,795,779,733,617.34
SK0325,1304,1200,1096,1037,922,838,798,727,695,694,651,658,624,572,557.06
SK0326,1313,1263,1167,1070,996,920,839,808,770,733,699,685,663,605,607.32
SK0327,1191,1139,1080,1030,968,837,725,695,713,679,653,634,607,545,510.17
SK0328,1332,1243,1147,1083,994,878,789,788,770,764,720,734,715,633,589.43
SK0329,1259,1134,1071,1011,948,847,778,717,684,673,631,616,594,581,577.93
SK032A,1209,1060,997,999,929,803,783,735,707,697,640,617,618,623,546.44
SK032B,1514,1382,1300,1246,1182,1096,988,993,963,921,853,870,841,758,739.29
SK032C,1421,1420,1384,1275,1236,1230,967,870,880,873,823,851,839,795,673.47
SK032D,1514,1422,1300,1253,1214,1119,986,909,876,830,798,797,758,732,727.90
SK0411,1196,1056,1000,895,853,726,716,658,636,614,597,604,580,492,465.56
SK0412,1268,1198,1084,1068,1012,890,832,780,763,725,689,700,672,631,611.69
SK0413,1295,1150,1079,1001,949,815,780,718,678,680,648,635,620,611,583.18
SK0414,1374,1242,1233,1156,1093,945,892,812,781,759,718,735,740,672,606.32
SK0415,1161,1021,1153,1096,882,849,759,735,732,715,676,659,639,572,516.18
SK0416,1434,1317,1248,1197,1123,1006,947,950,888,835,782,790,755,738,703.07
SK0417,1430,1287,1219,1155,1104,1022,956,903,875,847,785,774,767,732,697.19
SK0418,1340,1200,1139,1063,1014,925,866,799,791,736,687,678,669,620,590.87
SK0419,1262,1141,983,932,934,833,762,745,702,675,648,626,598,541,552.73
SK041A,1289,1198,1113,1053,937,887,848,811,793,759,709,670,651,621,627.50
SK041B,1277,1116,1066,991,911,881,800,738,722,680,640,645,630,561,568.59
SK041C,1224,1142,1091,995,942,913,800,702,733,738,719,682,637,603,604.16
SK041D,1269,1147,1142,1039,953,872,834,777,737,707,660,649,638,576,582.63
SK0421,1241,1148,1030,948,935,858,804,760,699,691,670,620,598,581,541.76
SK0422,1632,1518,1387,1326,1279,1205,1096,1051,998,955,900,895,871,904,850.96
SK0423,1779,1713,1554,1359,1378,1382,1249,1184,1176,1115,1026,1016,1000,985,938.67
SK0424,1395,1257,1236,1231,1031,936,894,860,810,750,710,645,624,699,513.79
SK0425,1669,1552,1468,1347,1268,1157,1095,1034,1025,982,948,931,908,882,812.10
SK0426,1421,1282,1222,1167,1137,1071,936,871,862,819,762,801,775,680,685.15
SK0427,1434,1266,1214,1137,1067,1000,919,868,844,824,784,742,726,681,668.87
SK0428,1346,1266,1263,1165,1061,986,919,886,867,847,796,818,802,687,666.92
SK0429,1328,1282,1257,1154,1045,886,951,831,819,792,749,779,747,703,684.48
SK042A,1399,1243,1220,1158,1065,961,900,854,812,799,746,752,726,652,638.29
SK042B,1356,1195,1155,1069,985,886,837,801,760,737,700,754,919,616,614.41
