Okres ,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1993
Okres Bratislava I,260,446,497,352,653,798,485,657,483,482,165,-44,79,185,258,-204,-223,-326,-660,-617,-509,-610,-522,-503,-393,-480,-605,-496,-235,-140,-270
Okres Bratislava II,669,367,612,-178,446,570,733,828,891,1147,1003,893,1022,1101,889,1038,1108,1081,1001,331,260,65,-106,-71,-193,-571,-397,-227,-106,-7,325
Okres Bratislava III,531,626,274,424,1162,1566,1471,1349,1096,916,535,492,584,699,483,710,528,322,95,114,147,-139,118,197,-216,-219,-418,-110,-40,-184,2
Okres Bratislava IV,94,-21,-90,-91,612,531,470,759,656,822,606,562,735,847,689,912,790,284,745,746,-68,-122,124,61,157,245,135,312,1081,1823,2571
Okres Bratislava V,-205,-300,52,-433,349,1397,141,48,-135,-113,-20,-103,-23,-132,-579,-186,-339,-525,-549,-270,-208,-710,-659,-486,-302,-230,-563,-372,-465,-215,-498
Okres Malacky,293,424,456,673,664,676,986,901,1134,921,821,705,732,738,738,880,812,633,520,513,392,482,425,294,277,257,380,359,192,112,92
Okres Pezinok,110,167,163,440,581,896,1059,1179,955,1059,843,906,721,757,780,812,791,646,579,549,347,320,436,311,246,226,184,225,121,109,292
Okres Senec,1876,2678,2692,2990,2965,3560,3415,3225,3524,2887,2834,2287,2295,2411,2722,2166,2261,1982,1323,1201,984,765,878,458,491,155,210,78,66,-79,126
Okres Dunajská Streda,802,947,840,569,530,934,863,943,779,807,615,482,537,654,561,742,960,945,611,571,603,637,437,249,141,254,437,347,210,213,357
Okres Galanta,-247,280,150,-97,32,142,53,86,90,94,59,-5,-54,172,190,122,814,331,-9,68,87,378,-73,-29,164,96,282,409,201,141,170
Okres Hlohovec,-435,-275,-297,-246,-212,-139,-147,-191,-134,-169,41,-80,-5,-10,-26,23,-8,-74,-37,53,58,-23,-84,-71,-26,21,103,5,93,101,198
Okres Piešťany,-242,-338,-309,-370,-100,-153,8,-53,-72,-172,27,51,-39,38,71,59,141,46,1,55,117,-80,40,-89,-57,-55,-31,-62,-24,31,70
Okres Senica,-204,-246,-121,-402,-105,-54,-84,-98,2,-72,39,-4,109,75,91,33,308,168,-4,-50,132,43,-129,-82,-32,89,34,24,5,-38,247
Okres Skalica,-152,-156,-241,-212,-113,-53,40,52,8,97,47,118,101,38,104,136,153,196,35,113,169,208,-23,-29,82,59,170,142,344,166,-85
Okres Trnava,264,329,255,46,375,649,486,477,786,435,241,469,419,521,565,476,415,464,306,164,18,-60,-175,-32,-118,171,36,-142,102,180,192
Okres Bánovce nad Bebravou,-276,-214,-258,-309,-212,-195,-133,-167,-63,-91,-130,-104,-17,-57,-57,-106,-47,-12,-132,-195,-132,-49,-33,-54,-26,3,-31,9,-68,30,58
Okres Ilava,-273,-209,-382,-547,-264,-225,-246,-181,-225,-242,-234,-65,-96,55,-110,-188,-157,-140,-63,-171,-46,-196,-205,-189,26,-61,-111,22,101,78,301
Okres Myjava,-204,-180,-170,-315,-194,-200,-213,-160,-132,-122,-146,-124,-107,-129,-152,-127,-132,-103,-136,-151,-198,-242,-203,-175,-136,-137,-123,-65,-145,-80,-30
Okres Nové Mesto nad Váhom,-46,-58,-105,-328,-3,43,29,-63,11,24,63,-109,-142,51,2,38,-39,-185,-74,-153,-109,-37,-187,-130,-134,-76,-130,-225,-71,-139,109
Okres Partizánske,-308,-290,-380,-336,-196,-215,-112,-306,-209,-131,-273,-158,-152,-164,-108,-88,-73,20,-119,-119,-104,-118,-137,-98,-56,-134,-59,-17,1,-41,3
Okres Považská Bystrica,-216,-331,-303,-406,-358,-175,-165,-119,-215,-151,-87,-100,-180,-35,-92,-164,-86,-176,-141,-159,-125,-174,-103,-51,-15,1,24,140,117,199,562
Okres Prievidza,-963,-992,-1011,-1077,-830,-517,-616,-679,-434,-587,-496,-330,-439,-174,-92,-12,197,315,-111,-264,-114,-334,-335,-280,-196,-117,-102,140,137,179,626
Okres Púchov,-227,-190,-233,-186,-112,-123,-21,-42,-23,-80,-59,4,-74,-31,-27,-10,-35,-25,-53,-40,44,-91,-27,-44,19,-3,29,51,138,106,191
Okres Trenčín,-17,-109,-182,-261,167,294,-5,265,171,82,201,221,180,216,241,12,400,290,290,246,10,-87,-193,-26,16,73,-107,159,97,506,305
Okres Komárno,-444,-422,-517,-740,-508,-423,-372,-304,-362,-399,-349,-264,-23,-126,-222,-9,-116,-115,-161,-253,-65,-428,-511,-423,-277,-229,-263,7,24,-302,-29
Okres Levice,-487,-503,-606,-881,-483,-602,-636,-559,-554,-637,-402,-639,-535,-493,-509,-423,-98,-57,-352,-323,-187,-296,-289,-392,-127,-185,-200,-48,168,-118,149
Okres Nitra,-243,173,67,-208,-180,238,416,232,412,140,201,279,339,417,414,232,274,289,34,4,165,51,-17,94,1,250,150,186,240,101,538
Okres Nové Zámky,-772,-947,-1051,-1167,-799,-855,-739,-742,-661,-743,-647,-672,-576,-316,-461,-298,-384,-474,-500,-298,-364,-367,-433,-736,-411,-432,-279,-304,-244,-294,-222
Okres Šaľa,-413,-300,-288,-505,-259,-234,-356,-200,-155,-267,-158,-163,-157,-105,-34,-162,39,-35,-101,86,122,22,29,-41,-121,-69,15,-39,-43,71,134
Okres Topoľčany,-299,-316,-420,-564,-426,-369,-301,-382,-248,-339,-261,-191,-193,-19,-15,42,24,-97,-23,-4,38,-79,83,-135,-147,-61,-73,-41,-23,-52,18
Okres Zlaté Moravce,-43,-80,-36,-288,-143,-121,-32,-132,-180,-150,-124,-88,-19,-105,-82,-96,-122,-58,-90,-64,-111,-153,-172,-109,-157,7,-31,-105,-161,-140,-101
Okres Tvrdošín,4,-38,-19,-54,-76,46,53,51,58,-71,29,27,102,158,151,132,123,100,33,67,130,102,155,138,182,162,184,254,241,294,385
Okres Žilina,-178,-278,-236,-325,177,472,526,455,415,422,415,490,488,738,338,404,242,108,272,538,199,131,134,105,175,148,238,390,632,548,832
Okres Bytča,136,70,75,9,91,96,34,103,41,9,10,61,-14,44,18,57,44,1,66,46,77,12,18,-40,109,102,122,59,8,39,98
Okres Čadca,-469,-343,-491,-673,-458,-256,-291,-240,-221,-164,-139,-258,-109,-205,-196,31,-103,-124,-140,-153,-14,82,54,11,155,180,149,240,409,322,566
Okres Dolný Kubín,-8,-79,-124,-89,63,-79,18,-2,-29,40,-61,31,12,5,13,50,55,-6,-12,-5,29,41,-5,69,88,193,148,165,246,193,351
Okres Kysucké Nové Mesto,-102,90,-102,-45,0,-48,-25,-99,-26,-70,-83,-19,-56,45,-28,32,11,20,29,6,86,-4,44,47,116,76,162,53,8,98,5
Okres Liptovský Mikuláš,-219,-150,-130,-250,-162,-89,-34,-113,2,-63,-79,0,-26,50,16,-52,-84,-91,46,-131,-119,-90,-94,-175,-94,-40,-41,-6,107,63,298
Okres Martin,-224,-324,-451,-560,-250,-334,-124,-94,-38,-126,-184,-157,14,65,142,-17,-29,59,-123,-63,-137,-104,60,0,150,-114,-6,76,180,235,534
Okres Námestovo,266,450,372,363,389,431,314,388,441,351,301,405,363,506,375,435,395,318,415,388,386,384,396,364,506,569,608,551,491,594,792
Okres Ružomberok,-210,-264,-284,-356,-121,-90,-44,-151,-204,-257,-140,-219,-191,-107,5,97,-25,-11,-20,-69,14,-88,-94,-127,-46,57,111,30,157,42,347
Okres Turčianske Teplice,-107,-66,-29,-108,-26,-8,-82,-53,-95,-86,-40,-62,-63,7,-62,-14,20,-2,-3,10,-21,-8,-61,-97,-70,48,22,-79,-73,-46,-48
Okres Veľký Krtíš,-302,-355,-350,-393,-261,-420,-309,-220,-277,-337,-260,-194,-216,-170,-160,-84,-105,-170,-182,-107,16,-104,-47,-217,-121,-88,-37,-79,-36,-65,27
Okres Zvolen,-208,-358,-358,-456,-28,-147,-93,-5,-2,-77,20,-5,-106,66,-7,23,-61,-41,9,-52,-20,1,47,60,25,-37,218,54,126,76,831
Okres Žarnovica,-205,-154,-169,-251,-58,-81,-99,-160,-88,-192,-73,-110,-111,-65,-82,-81,-69,-159,-163,-115,-46,-120,-87,-59,-51,-48,-52,-47,-99,-41,37
Okres Žiar nad Hronom,-393,-311,-375,-420,-255,-259,-169,-51,-230,-295,-138,-180,-156,-137,-102,-132,-142,-47,11,33,-23,-58,-169,-144,-86,-18,-195,-86,108,74,58
Okres Banská Bystrica,-595,-443,-478,-610,-85,-225,10,6,5,-98,-94,-36,-32,-46,50,71,-74,-1,-203,-233,-85,-243,-199,-40,-148,-24,-215,-20,185,290,289
Okres Banská Štiavnica,-57,-97,-47,-98,-66,-34,-62,-95,-54,-53,-47,-95,-71,-60,-36,-57,-63,-71,-72,-109,9,-36,-19,-62,-57,27,45,55,-72,-22,33
Okres Brezno,-381,-375,-293,-481,-364,-361,-329,-339,-318,-355,-355,-370,-380,-174,-338,-202,-155,-250,-234,-199,-246,-292,-165,-316,-112,-69,-120,-62,-104,-242,92
Okres Detva,-182,-149,-143,-180,-196,-168,-135,-148,-87,-127,-90,-149,-70,10,-86,-41,-146,-88,-195,-103,-13,-88,-152,-110,-181,-146,-70,-86,-90,-96,37
Okres Krupina,-62,-55,-40,-151,-89,-86,-74,-122,-109,-106,-74,-69,-130,-61,-37,-13,13,-35,83,-78,-32,-5,-130,-78,-23,-94,-73,37,-6,-9,-61
Okres Lučenec,-395,-503,-267,-634,-271,-248,-259,-196,-61,-295,-147,-133,-163,-31,-71,-97,-148,-210,-86,56,98,-137,-12,34,-42,12,69,59,-51,67,-39
Okres Poltár,-112,-118,-62,-207,-218,-148,-99,-123,-163,-144,-152,-174,-80,-106,-75,-63,10,-75,-111,-81,-66,-21,-154,-63,16,-159,-74,-62,-42,-62,14
Okres Revúca,-140,-177,-249,-427,-188,-199,-235,-81,-72,-81,-32,-89,-93,-9,-110,58,-48,-31,-26,-136,-87,-32,-61,-61,-30,56,17,1,-70,-12,214
Okres Rimavská Sobota,-200,-326,-378,-307,-95,-222,-61,-187,-59,-175,-12,-73,-30,-80,86,107,17,84,-188,-125,-90,-22,-85,-141,-45,28,134,57,183,-38,7
Okres Stará Ľubovňa,285,151,89,-101,96,9,100,232,146,92,108,131,106,246,200,287,138,44,127,166,97,175,296,205,199,342,312,375,401,377,619
Okres Stropkov,-139,-135,-56,-134,-76,-180,-1,-21,14,-114,-43,-37,-77,-3,26,-37,-52,-70,-3,-40,-30,-11,-70,39,88,197,-20,4,-40,24,61
Okres Svidník,-142,-67,-147,-214,-150,-160,-156,-45,-96,-56,-97,-49,-38,-63,-61,-27,22,-164,-35,8,-25,-73,2,-45,44,43,64,115,72,161,260
Okres Vranov nad Topľou,100,21,93,-245,65,149,85,110,33,-44,281,181,155,241,304,336,185,323,234,340,395,357,187,293,380,448,434,536,481,422,677
Okres Bardejov,117,-72,-167,-226,-99,-12,73,-38,-64,-24,-28,17,-66,88,182,248,166,79,69,88,115,174,261,190,204,308,341,434,458,428,663
Okres Humenné,-431,-343,-504,-591,-375,-425,-363,-284,-359,-410,-291,-204,-235,-145,-208,-152,-145,-51,-139,-101,-98,4,-109,-7,-10,1,-12,72,230,253,399
Okres Kežmarok,674,446,510,547,632,596,529,652,646,540,623,558,544,653,690,739,704,468,638,560,593,529,511,486,659,594,653,661,595,761,721
Okres Levoča,118,6,59,20,22,12,28,115,157,5,-53,72,63,70,171,89,219,95,112,111,140,118,30,176,163,188,230,199,198,186,280
Okres Medzilaborce,-60,-108,-97,-186,-79,-109,-108,-115,-14,-119,-58,-9,-89,-92,-46,-7,-65,-118,-36,-68,-85,-100,-34,-61,-131,-62,-58,-45,-73,4,-52
Okres Poprad,-204,-251,-180,-275,25,153,126,115,128,-26,83,114,295,141,241,319,27,148,7,6,-36,-170,-28,296,268,341,289,379,600,528,872
Okres Prešov,706,830,724,383,600,1143,752,829,921,758,576,670,704,770,711,682,610,554,728,588,641,444,485,655,763,796,894,950,959,1218,1401
Okres Sabinov,453,465,470,218,413,281,383,301,353,372,248,271,377,405,412,701,309,320,351,307,367,308,431,312,374,416,378,429,449,399,539
Okres Snina,-279,-223,-361,-470,-290,-235,-252,-335,-252,-254,-288,-181,-163,-111,-190,-122,-102,-172,-166,-114,-143,-123,-115,-98,31,-36,69,71,72,47,243
Okres Spišská Nová Ves,114,73,-173,-50,323,226,152,182,152,297,351,274,382,427,455,541,486,440,331,387,560,391,468,428,570,426,505,624,571,665,745
Okres Trebišov,-95,-135,-240,-310,-159,-116,-194,-192,-65,-133,-87,-63,81,30,137,242,212,16,122,173,192,262,93,231,137,485,442,246,204,80,167
Okres Gelnica,51,29,39,-30,29,52,83,37,95,123,83,53,43,123,75,108,130,40,105,-24,84,59,33,-11,10,95,121,173,-79,-30,83
Okres Košice I,-362,-443,-496,-549,-63,-58,-366,-42,213,-105,-280,-98,-257,-68,-151,-6,-306,-47,-209,-185,-302,96,19,50,144,174,122,1217,1106,690,460
Okres Košice II,-471,-354,-295,-403,-163,-18,41,30,-192,-62,-183,-99,-70,202,72,315,-28,44,176,322,310,-87,-247,256,268,437,42,-284,-71,246,372
Okres Košice III,-215,-172,-201,-211,-152,-123,-50,-119,-247,-188,-178,-186,-226,-72,-80,-132,-139,-199,-139,-58,-76,-118,-137,-94,61,-183,-85,-53,-101,191,140
Okres Košice IV,-318,-199,-254,-419,-77,35,37,85,167,91,308,16,29,110,165,44,-105,-157,-103,-214,-207,-119,-162,-301,-267,-495,-308,-316,-243,-139,213
Okres Košice - okolie,1366,1355,1363,891,1173,1177,1590,1364,1423,1201,1129,1061,1214,1278,1130,1221,1109,974,891,776,787,1003,1034,667,699,709,882,761,859,315,593
Okres Michalovce,-196,-159,-229,-434,-78,86,-51,-78,79,-2,-54,-131,2,248,86,273,111,70,79,225,56,74,32,107,335,263,391,239,292,266,571
Okres Rožňava,-117,-273,-300,-350,-187,-155,-49,-180,-184,-178,-205,-97,-125,-11,0,-3,-95,-63,-50,136,108,-73,-19,13,45,168,127,117,78,-18,209
Okres Sobrance,-31,-154,3,-63,-14,-60,4,27,12,41,-75,1,-39,-113,-9,8,31,-101,-64,-99,-72,-105,-79,-106,-40,-49,-91,-102,-127,-110,-36
